basis_columns,prediction_columns,rmse,,
['Electric Mile Range'],"['Vehicle Category', 'GVWR Class', 'Model Year', 'Fuel Type', 'CPI', 'Region', 'Fuel Technology']",11099.04225,,
['Number of Vehicles Registered at the Same Address'],"['Vehicle Category', 'Fuel Technology', 'Region', 'Model Year', 'GVWR Class', 'CPI', 'Fuel Type']",11109.5036,,
['Electric Mile Range'],"['GVWR Class', 'Region', 'Model Year', 'CPI', 'Fuel Type', 'Vehicle Category', 'Number of Vehicles Registered at the Same Address']",11138.79722,,
['Number of Vehicles Registered at the Same Address'],"['CPI', 'Electric Mile Range', 'GVWR Class', 'Fuel Type', 'Model Year', 'Vehicle Category']",11145.38017,,
"['Electric Mile Range', 'Fuel Technology']","['Number of Vehicles Registered at the Same Address', 'GVWR Class', 'CPI', 'Model Year', 'Vehicle Category', 'Fuel Type']",11152.79606,,
['Electric Mile Range'],"['GVWR Class', 'Fuel Type', 'Fuel Technology', 'Model Year', 'CPI', 'Vehicle Category']",11163.89954,,
['Fuel Technology'],"['Fuel Type', 'Number of Vehicles Registered at the Same Address', 'CPI', 'GVWR Class', 'Vehicle Category', 'Model Year']",11168.86011,,
['Number of Vehicles Registered at the Same Address'],"['Vehicle Category', 'Region', 'Fuel Type', 'Electric Mile Range', 'Model Year', 'GVWR Class']",11201.94724,,
"['Region', 'Number of Vehicles Registered at the Same Address']","['Vehicle Category', 'Model Year', 'GVWR Class', 'Electric Mile Range', 'Fuel Technology', 'Fuel Type']",11203.5927,,
"['Electric Mile Range', 'Vehicle Category']","['Fuel Technology', 'Fuel Type', 'Model Year', 'GVWR Class']",11208.82887,,
"['Region', 'Fuel Technology']","['Fuel Type', 'Vehicle Category', 'CPI', 'Electric Mile Range', 'GVWR Class', 'Model Year']",11220.69455,,
"['Region', 'Number of Vehicles Registered at the Same Address']","['Electric Mile Range', 'GVWR Class', 'Model Year', 'Vehicle Category', 'Fuel Technology', 'Fuel Type']",11221.11488,,
"['Region', 'Number of Vehicles Registered at the Same Address']","['Model Year', 'Vehicle Category', 'Fuel Type', 'Fuel Technology', 'GVWR Class']",11232.58658,,
['Electric Mile Range'],"['Fuel Type', 'Fuel Technology', 'CPI', 'GVWR Class', 'Vehicle Category', 'Region', 'Model Year']",11234.92021,,
['Electric Mile Range'],"['Vehicle Category', 'Fuel Type', 'Fuel Technology', 'CPI', 'GVWR Class', 'Model Year', 'Region']",11253.32536,,
"['Fuel Type', 'Region']","['Vehicle Category', 'CPI', 'Number of Vehicles Registered at the Same Address', 'Model Year', 'Electric Mile Range']",11276.52642,,
['Number of Vehicles Registered at the Same Address'],"['Model Year', 'Region', 'Fuel Technology', 'Vehicle Category', 'Fuel Type', 'GVWR Class']",11279.66648,,
"['Number of Vehicles Registered at the Same Address', 'Region']","['GVWR Class', 'Fuel Type', 'Model Year', 'Fuel Technology', 'Vehicle Category', 'Electric Mile Range']",11280.13435,,
"['Fuel Type', 'Region']","['CPI', 'Vehicle Category', 'Number of Vehicles Registered at the Same Address', 'Electric Mile Range', 'Model Year']",11286.40047,,
['Number of Vehicles Registered at the Same Address'],"['Model Year', 'Fuel Technology', 'GVWR Class', 'Fuel Type', 'Region', 'Electric Mile Range', 'Vehicle Category']",11290.16994,,
['Electric Mile Range'],"['Fuel Technology', 'GVWR Class', 'Model Year', 'Vehicle Category', 'Fuel Type', 'CPI', 'Region']",11294.23668,,
"['Number of Vehicles Registered at the Same Address', 'Fuel Technology']","['Vehicle Category', 'Fuel Type', 'Electric Mile Range', 'Model Year', 'CPI']",11303.13434,,
['Vehicle Category'],"['Fuel Technology', 'Region', 'CPI', 'Fuel Type']",11395.97293,,
['Electric Mile Range'],"['Region', 'Fuel Type', 'Model Year', 'Fuel Technology', 'GVWR Class', 'Number of Vehicles Registered at the Same Address', 'Vehicle Category']",11402.02624,,
['Electric Mile Range'],"['Fuel Technology', 'Number of Vehicles Registered at the Same Address', 'Model Year', 'Vehicle Category', 'Fuel Type', 'GVWR Class']",11479.82877,,
['Electric Mile Range'],"['Fuel Technology', 'Vehicle Category', 'Region', 'GVWR Class', 'Model Year', 'Fuel Type', 'Number of Vehicles Registered at the Same Address']",11479.91707,,
"['Region', 'Fuel Technology']","['Fuel Type', 'Number of Vehicles Registered at the Same Address', 'Vehicle Category', 'Electric Mile Range', 'Model Year', 'GVWR Class']",11506.54873,,
['Fuel Technology'],"['Electric Mile Range', 'CPI', 'Vehicle Category', 'Region', 'Model Year', 'Fuel Type']",11528.04697,,
['Fuel Technology'],"['Number of Vehicles Registered at the Same Address', 'Region', 'Vehicle Category', 'Model Year', 'Fuel Type', 'GVWR Class']",11557.85933,,
['Electric Mile Range'],"['Fuel Technology', 'Fuel Type', 'GVWR Class', 'Model Year', 'Vehicle Category']",11576.33831,,
"['Region', 'Electric Mile Range']","['CPI', 'Fuel Technology', 'Fuel Type', 'Number of Vehicles Registered at the Same Address', 'Vehicle Category', 'Model Year']",11624.05704,,
['Electric Mile Range'],"['Region', 'GVWR Class', 'Vehicle Category', 'Model Year', 'Number of Vehicles Registered at the Same Address', 'Fuel Type']",11631.6194,,
['Vehicle Category'],"['Electric Mile Range', 'Number of Vehicles Registered at the Same Address', 'CPI', 'Fuel Type', 'Fuel Technology', 'Region']",11635.54774,,
['Fuel Technology'],"['CPI', 'Vehicle Category', 'Fuel Type', 'GVWR Class']",11684.88775,,
['Electric Mile Range'],"['Fuel Type', 'GVWR Class', 'Fuel Technology', 'CPI', 'Vehicle Category']",11706.54029,,
['Number of Vehicles Registered at the Same Address'],"['Fuel Type', 'CPI', 'Vehicle Category', 'Model Year', 'Region', 'Fuel Technology', 'Electric Mile Range']",11753.34363,,
['Electric Mile Range'],"['CPI', 'Fuel Technology', 'Vehicle Category', 'Fuel Type', 'Number of Vehicles Registered at the Same Address', 'Region', 'GVWR Class']",11771.99525,,
"['Region', 'Fuel Technology']","['CPI', 'Fuel Type', 'Vehicle Category', 'Number of Vehicles Registered at the Same Address', 'Electric Mile Range', 'Model Year']",11795.59589,,
['Electric Mile Range'],"['CPI', 'GVWR Class', 'Number of Vehicles Registered at the Same Address', 'Fuel Technology', 'Vehicle Category', 'Fuel Type']",11839.23234,,
['Electric Mile Range'],"['Number of Vehicles Registered at the Same Address', 'CPI', 'GVWR Class', 'Vehicle Category', 'Fuel Technology', 'Fuel Type']",11858.49183,,
['Fuel Technology'],"['Fuel Type', 'Number of Vehicles Registered at the Same Address', 'Vehicle Category', 'CPI', 'Electric Mile Range', 'GVWR Class', 'Region']",11862.42303,,
"['Region', 'Fuel Type']","['CPI', 'Vehicle Category', 'Number of Vehicles Registered at the Same Address', 'Electric Mile Range']",11952.51054,,
"['Electric Mile Range', 'Vehicle Category']","['Model Year', 'Fuel Type', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address']",12011.98121,,
['Region'],"['Number of Vehicles Registered at the Same Address', 'GVWR Class', 'Vehicle Category', 'CPI', 'Fuel Technology', 'Fuel Type']",12024.23642,,
"['Region', 'Fuel Type']","['CPI', 'Vehicle Category', 'Number of Vehicles Registered at the Same Address', 'Fuel Technology', 'Electric Mile Range']",12034.74849,,
['Electric Mile Range'],"['Region', 'Fuel Type', 'CPI', 'Vehicle Category']",12082.89976,,
['Fuel Technology'],"['Fuel Type', 'Electric Mile Range', 'Model Year', 'Vehicle Category', 'Number of Vehicles Registered at the Same Address']",12103.27738,,
"['GVWR Class', 'Fuel Technology']","['Model Year', 'Vehicle Category', 'Fuel Type']",12146.56373,,
['Electric Mile Range'],"['Fuel Type', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address', 'Vehicle Category', 'Region', 'Model Year']",12164.42805,,
"['Fuel Technology', 'Number of Vehicles Registered at the Same Address']","['Vehicle Category', 'CPI', 'Electric Mile Range', 'Region', 'Fuel Type']",12259.74716,,
"['Fuel Type', 'Number of Vehicles Registered at the Same Address']","['Vehicle Category', 'Fuel Technology', 'CPI']",12261.77252,,
['Number of Vehicles Registered at the Same Address'],"['Fuel Type', 'Fuel Technology', 'Region', 'Electric Mile Range', 'GVWR Class', 'Vehicle Category', 'CPI']",12413.59333,,
['Region'],"['CPI', 'Electric Mile Range', 'Vehicle Category', 'Fuel Type', 'Number of Vehicles Registered at the Same Address']",12743.53709,,
['Number of Vehicles Registered at the Same Address'],"['CPI', 'Vehicle Category', 'Fuel Type', 'Fuel Technology']",12912.89994,,
['Vehicle Category'],"['Fuel Type', 'Model Year', 'Region', 'GVWR Class', 'CPI', 'Number of Vehicles Registered at the Same Address']",14003.38072,"['Region', 'CPI', 'Number of Vehicles Registered at the Same Address']",18234.87874
['Vehicle Category'],"['Fuel Type', 'CPI', 'Model Year', 'GVWR Class', 'Number of Vehicles Registered at the Same Address']",14003.38072,,
['Vehicle Category'],"['Fuel Type', 'Model Year', 'Region', 'Number of Vehicles Registered at the Same Address', 'GVWR Class']",14083.87151,,
"['Number of Vehicles Registered at the Same Address', 'Fuel Type']","['Model Year', 'Region', 'GVWR Class', 'Vehicle Category']",14139.98931,,
['Region'],"['Fuel Type', 'Model Year', 'GVWR Class', 'Vehicle Category']",14245.47039,,
['Vehicle Category'],"['GVWR Class', 'Model Year', 'Fuel Type']",14327.32771,,
['Fuel Type'],"['Vehicle Category', 'GVWR Class', 'Model Year', 'Region']",14380.0256,,
"['Region', 'Number of Vehicles Registered at the Same Address']","['GVWR Class', 'Vehicle Category', 'Fuel Type', 'Model Year']",14389.43483,,
['GVWR Class'],"['Fuel Type', 'Vehicle Category', 'Model Year', 'CPI']",14457.38128,,
"['Fuel Type', 'GVWR Class']","['Region', 'CPI', 'Model Year', 'Vehicle Category']",14481.71505,,
"['Fuel Technology', 'Fuel Type']","['Model Year', 'Vehicle Category', 'GVWR Class', 'Number of Vehicles Registered at the Same Address', 'Electric Mile Range']",14544.14998,,
"['Electric Mile Range', 'Fuel Type']","['Number of Vehicles Registered at the Same Address', 'Vehicle Category', 'Region', 'GVWR Class', 'Model Year', 'Fuel Technology']",14552.92831,,
['Number of Vehicles Registered at the Same Address'],"['GVWR Class', 'Model Year', 'CPI', 'Vehicle Category', 'Fuel Type']",14572.33244,,
['Region'],"['Number of Vehicles Registered at the Same Address', 'Vehicle Category', 'Fuel Type', 'Model Year']",14655.06135,,
"['Fuel Type', 'Fuel Technology']","['Electric Mile Range', 'CPI', 'Number of Vehicles Registered at the Same Address', 'Vehicle Category', 'GVWR Class', 'Region']",14715.176,,
['Vehicle Category'],"['Fuel Type', 'Model Year', 'CPI', 'Region']",14717.91018,,
